"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Dcaf10","JR24117","Homozygous - Viable"
"Dcps","JR23604","Homozygous - Lethal"
"Rgs5","H-RGS5-B12-TM1B","Homozygous - Viable"
"Abcb11","GSF-HEPD0507_7_B05-1-3","Homozygous - Subviable"
"Txndc5","BL3824","Homozygous - Viable"
"Tmem256","BL1324","Homozygous - Viable"
"Btrc","H-Btrc-B11-TM1B-2","Homozygous - Viable"
"Phyh","TCPM0717Cre","Homozygous - Viable"
"Aff3","MCND","Homozygous - Viable"
"Zdhhc24","H-Zdhhc24-C08-TM1B","Homozygous - Viable"
"Cmip","MEWD","Homozygous - Lethal"
"Kdm7a","MDVT","Homozygous - Viable"
"A430005L14Rik","MEVK","Homozygous - Viable"
"Atp6v1d","TCPA0536Cre","Homozygous - Lethal"
"Xbp1","MDFD","Homozygous - Lethal"
"Fundc1","MFUN","Homozygous - Viable"
"Traf2","MFVP","Homozygous - Lethal"
"Nubpl","MUBJ","Homozygous - Lethal"
"Lztr1","MDLF","Homozygous - Lethal"
"Dcbld2","MFTX","Homozygous - Viable"
"Edc4","MFAD","Homozygous - Lethal"
"Ndufb8","MFHG","Homozygous - Lethal"
"Pcx","HMGU-EPD0241_5_E07-1-1","Homozygous - Lethal"
"Nsg1","BL1824","Homozygous - Viable"
"Ptdss1","IP00005133a","Homozygous - Viable"
"Gpr107","MEFV","Homozygous - Lethal"
"Cpe","GSF-HEPD0594_7_A02-1-1","Homozygous - Viable"
"Dnal4","IP00005194a","Homozygous - Subviable"
"Setx","IP00005514a","Homozygous - Viable"
"Smc5","IP00005492a","Homozygous - Lethal"
"Tbkbp1","H-TBKBP1-A04-TM1B","Homozygous - Viable"
"Hsf1","JR18582","Homozygous - Subviable"
"Htr1d","JR24347","Homozygous - Viable"
"Mapkbp1","H-MAPKBP1-H02-TM1B","Homozygous - Viable"
"Sirt3","MDCL","Homozygous - Viable"
"Pax7","JR23412","Homozygous - Subviable"
"Cmtm4","MDLQ","Homozygous - Viable"
"Gipc3","JR18643","Homozygous - Viable"
"Zranb1","MFPS","Homozygous - Viable"
"Chn1","JR18603","Homozygous - Viable"
